Date,years_since_halving,realized_vol_30,dxy_ret_30,dxy_ret_100,short_percent_r,long_percent_r,wr_composite,log_price_residual,log_price_residual_ma14
2021-11-07,1.4921286789869952,-0.27096121176464405,0.026575954162968,0.23326478990896599,0.5069229765563525,0.8804556947671347,0.05894455019386,0.8812608923061607,0.8661418911570312
2021-11-08,1.4948665297741273,-0.14397902347061972,-0.002125719478185,0.20397145710760098,0.6273688446572951,0.9388325682800818,0.0227928907511391,0.9440702915382602,0.869162680635082
2021-11-09,1.497604380561259,-0.13887819481587127,-0.011693484714405001,0.19420646100548802,0.6827845838826155,0.949437541892746,0.0160391911884103,0.9332387886320196,0.8746455721873305
2021-11-10,1.5003422313483916,-0.16113857653328725,0.056191558631435004,0.30418200212214097,0.6724517664996894,0.9235045240783762,0.0250559580088934,0.9013223539459894,0.8802457105972632
2021-11-11,1.5030800821355237,-0.19413565810326402,0.06982688167052399,0.336663598227211,0.6636327311701568,0.9094859542810854,0.0304459623492108,0.8986699582496218,0.8832270367952763
2021-11-12,1.5058179329226558,-0.19837808706833357,0.111606654116442,0.309959977717899,0.6382609777603111,0.8892302625521791,0.0400697365181218,0.8844265912534137,0.8834624090592634
2021-11-13,1.5085557837097878,-0.19937212029242768,0.12452087913426199,0.31331303735682103,0.6266401429241973,0.8827364249433114,0.0437815116233629,0.8873573823767149,0.8844358629105067
2021-11-14,1.51129363449692,-0.3844601022662514,0.126676046528098,0.251076953129045,0.6414844740239115,0.8917778273862978,0.0387993291368764,0.900751942811448,0.8871645148521136
2021-11-15,1.514031485284052,-0.3505812638184958,0.156482987279038,0.28125005652164403,0.6075213036260831,0.8650219306902441,0.0529760166817611,0.8692302553573068,0.8881461876106945
2021-11-16,1.516769336071184,-0.23207347300875392,0.21077237343847002,0.336206359330333,0.5018089411534221,0.7948165434632748,0.1022205634698319,0.8124287444348219,0.8826544958780368
2021-11-17,1.5195071868583163,-0.2341708571868918,0.200106965820145,0.309844537640615,0.4274091857177744,0.7630134816240496,0.135696303530795,0.8139796088380375,0.8777026895715687
2021-11-18,1.5222450376454484,-0.1690074472623928,0.18658705436799702,0.26649510229914597,0.3285507842327332,0.6924407450596805,0.2065104205316424,0.7537284461186111,0.8703272616621616
2021-11-19,1.5249828884325805,-0.18182115085704956,0.268277276798614,0.340113648494404,0.2925441693903781,0.6759443621843613,0.2292550504145935,0.772352122093876,0.8647994479279689
2021-11-20,1.5277207392197123,-0.27074963268927443,0.245281340950958,0.325666245645017,0.2956821976980046,0.6928722888731701,0.2163155145268909,0.7972699375660692,0.8607205225373108
